id	Kanji	JLPT-test	"Name of Radical"	"Translation of On"	"Translation of Kun"
6	悪	4	"Kokoro, Risshinben, Shitagokoro"	"evil, wrong, vice, wickedness, lawlessness"	"bad, evil, wrong; immoral; malicious; blamable; injurious; detrimental, malignant; be indisposed; inferior; homely; poor (memory); inclement; unlucy; out of order; unsavory"
12	安	4	Ukanmuri	"be rested, feel at ease, be relieved, repose"	"cheap, inexpensive; peaceful, quiet; gossipy, thoughtless"
15	以	4	"Hito, Ninben, Hitoyane"	"with, by, by means of; because; in view of"	-
19	医	4	Kakushigamae	"medicine, the healing art; doctor"	-
33	意	4	"Kokoro, Risshinben, Shitagokoro"	"mind, heart; care; liking, taste; inclination, will, intention; thought, idea; desire"	-
41	一	5	Ichi	"one, a"	"one, a unit; the same; just; once"
51	員	4	"Kuchi, Kuchihen"	"member; number; the one in charge"	-
52	院	4	Kozatohen	"mansion; temple; palace; hospital; school; institution; congress; ex-emperor"	-
55	飲	4	"Shoku, Shokuhen"	"drinking; feast"	"drink, taste, take; swallow, devour; smoke; conceal (a weapon); accept (an idea); despise"
58	右	5	"Kuchi, Kuchihen"	"right, right hand"	"right, right hand"
61	雨	5	"Ame, Amekanmuri"	"rain, fainfall"	"rain, rainfall"
66	運	4	Shinnyoo	"destiny, fate, lot, fortune, luck"	"transport, carry; progress, advance"
70	英	4	Kusakanmuri	"England, Britain; gifted person; wit"	-
71	映	4	"Nichi, Nichihen"	"reflecting; projection"	"shine, be brilliant; look attractive; be reflected; match, harmonize, be becoming; be taken (a photo); copy, transcribe, duplicate, reproduce, trace; describe, picture, photograph"
82	駅	4	"Uma, Umahen"	"post town; stage; station"	-
87	円	5	Doogamae	"circle; yen"	"round, circular, spherical"
119	屋	4	Shikabane	"house, roof"	"shop, store; seller, dealer; business"
127	音	4	Oto	"sound; noise; pronunciation; tone"	"sound, noise, roar; fame; tone, note, voice, chirping"
131	下	5	Ichi	"low class; inferiority; second, or last volume"	"come down, go down; get down, descend; be given; be less than; have diarrhea; retire; leave the capital; give, confer; oblige, favor with; let down, lower; issue (orders); hand down (decisions); have diarrhea; lay (hands) on; step down; get off; swoop down; land; take down, pull down, lift down, drop; launch; let off (passengers); wear (for the first time); cause (abortion); grate; invoke; exercise; borrow (in subtraction); lock; hang down, dangle; fall; abate; wane; stand back; go behind; be granted; hang; wear (a decoration); reduce (rank); move back; let go, dismiss; remove; grant; draw (money), withdraw; lower part, bottom, base, foot; downstairs; subordinate place; below average; part payment; under, lower; sub-, subordinate; preliminary; the foot; lower stream; latter; lower part of the body; the masses, the servants; the governed; vicinity"
133	火	5	"Hi, Hihen, Renga"	"fire, Tuesday"	"fire, flame, blaze"
137	何	5	"Hito, Ninben, Hitoyane"	what	what
138	花	4	Kusakanmuri	flower	"flower, blossom; cherry blossoms; essence, spirit, pride; pearl; youth; best days; beautiful woman, flower arrangement; flower-card game"
146	夏	4	Suinyoo	summer	summer
147	家	4	Ukanmuri	house	"house, home, residence; housing; family, household; family name; fortune; shop, store, seller; dealer"
159	歌	4	Akubi	"sing, recite, chant, carol"	"sing, recite, chant, carol; poem, tanka, ballad, poetry; singing"
167	画	4	"Ta, Tahen"	"picture, drawing, painting, sketch; stroke (in a character)"	-
175	会	4	"Hito, Ninben, Hitoyane"	"Buddhist ceremony; understanding; meeting, assembly; party; association, club"	"meet, interview"
182	海	4	"Mizu, Sanzui, Shitamizu"	"sea, ocean"	"sea, ocean"
183	界	4	"Ta, Tahen"	"circle, world, boundary, limits"	-
187	開	4	Mongamae	opening	"open, unfold, unroll, uncover, unpack, untie, unseal; establish; clear (land); pioneer; clear the way; convene; enlighten ( a country); bloom; differ, have a margin; widen (the space between); become civilized, become modernized; become sensible; be opened to traffic; feel relief; be open; grow, develop (a town); start, commence; become vacant, become empty, be disengaged, be free; empty, vacate; leave (a space); clear (the table); make (a hole); reserve (a seat), stay away from; dawn; end, expire, be over; begin"
197	外	5	Yuube	"outside, without, beside, beyond the scope off"	"outside, exterior, open air; some other place; outside; the rest; take off, remove, unfasten, undo, detach, disconnect, put out off gear; miss, fail; avoid, evade, dodge; be off, come off, be or get out of place, be out of gear, run off the track, slip out or off, be dislocated, be disconnected, be off the hook (a phone), be unbuttoned, be unzipped"
226	学	5	"Ko, Kohen"	"learning, study, science, scholarship, erudition"	"learn, study"
228	楽	4	"Ki, Kihen"	"music; comfort, ease, relief; pleasure; concluding program"	"enjoy; amuse oneself; anticipate; merry, pleasant, cheerful, joyful"
270	間	5	Mongamae	"interval; space; between; among; discord; favorable opportunity; six feet"	"space, interval, gap; between, among; midway; on the way; distance; time, period; relationship; room; pause; rest (in music); a while; leisure; luck; timing, harmony"
276	漢	4	"Mizu, Sanzui, Shitamizu"	"Han (Dynasty); (old name for China), masculine suffix"	-
285	館	4	"Shoku, Shokuhen"	"mansion, large building, hall"	"mansion; temporary residence"
305	気	5	Kigamae	"spirit, mind, soul, heart; intention; bent, interest; mood, feeling; temper, disposition, nature; care, attention; air, atmosphere; flavor; odor; energy, essence; indications, symptoms; taste; touch, dash, shade, trace; spark, flash; suspicion"	-
317	起	4	"Hashiru, Soonyoo"	"get up, rise, awake; occur; (a fire) is kindled "	"get up, rise, awake; occur; (a fire) is kindled; raise up, set up, pick up (someone); open, begin; promote, organize; generate; get sick; awaken; establish; plow; kindle (a fire); happen; break out; originate in; rise, flourish, spring up; be produced; have an attack of"
320	帰	4	"Haba, Kinben"	"return; take one's leave; come again; come around (time)"	"return; take one's leave; come again; come around (time); send (someone) back"
359	九	5	"Otsu, Otsunyoo"	nine	nine
365	休	5	"Hito, Ninben, Hitoyane"	"rest; take a day off; be absent; retire, sleep"	"rest; take a day off; be absent; retire, sleep; rest (oneself); let idle; suspend; have (someone) rest; set at ease, give relief to; fallow (land); be rested, feel at ease, repose, be relieved"
370	究	4	"Ana, Anakanmuri"	"investigate thoroly, master; carry to extremes"	"investigate thoroly, master; carry to extremes"
372	急	4	"Kokoro, Risshinben, Shitagokoro"	"emergency; suddenness; danger; haste; steep"	"hurry, hasten"
381	牛	4	"Ushi, Ushihen"	"beef, cow"	"cattle, cow, bull, ox"
382	去	4	Mu	"leave, move away, quit; pass, elapse, be gone, be over; be distant from; remove, eliminate, get rid of; divorce"	"leave, move away, quit; pass, elapse, be gone, be over; be distant from; remove, eliminate, get rid of; divorce"
391	魚	4	"Uo, Uohen"	fish	fish
398	京	4	Nabebuta	"ten quadrillion; captital, metropolis; Kyoto"	-
410	強	4	"Yumi, Yumihen"	"strength, might; strong person"	"strong, powerful, mighty, robust, vigorous, healthy; brave, courageous; severe, intense; durable, solid; get strong; strengthen, intensify, invigorate; confirm; emphasize, increase, redouble; force, coerce, constrain, compel"
411	教	4	Nobun	faith	"teach, give lessons; inform; coach; learn, be taught, take lessons in"
422	業	4	"Ki, Kihen"	"vocation, occupation, business, trade, profession; industry; undertaking; studies; arts; conduct, act; service; achievement"	"deed, act, work, art, trick, performance"
431	近	4	Shinnyoo	"early, immediate; near, short (road), close by; akin to; nearby, bordering on, verge of, tantamount to; intimate, friendly"	"early, immediate; near, short (road), close by; akin to; nearby, bordering on, verge of, tantamount to; intimate, friendly"
432	金	5	"Kane, Kanehen"	"gold; money; Friday"	"money, metal"
444	銀	4	"Kane, Kanehen"	silver	-
452	空	4	"Ana, Anakanmuri"	"air, sky; emptiness; vanity, unreality; hollow; void"	"become empty, be less crowded; empty; sky, heavens, air, weather, memory, absent-mindedness"
469	兄	4	Hitoashi	"brother; you; elder brother"	"elder brother"
478	計	4	"Gon, Gonben"	"plan, scheme, trick; total; meter, gauge "	"measure, gauge, weigh; fathom, sound; compute, estimate; manage, arrange, dispose of, see about, talk over"
513	月	5	"Tsuki, Tsukihen"	"moon; month; Monday; month (of the year)"	"moon; month"
514	犬	4	"Inu, Kemonohen"	dog	"dog, spy"
516	見	5	Miru	"hopes, chances; ideas, opinion"	"see, look at, witness, observe; regard as; sightsee; look through; examine; consult (a lexicon); tell (one’s future); estimate; care for; try, test; be seen, be visible, be in sight; look like, seem, appear; come, show up; be found"
