Kanji	Meaning
春	Spring
春風	Spring wind
夏	Summer
春夏	Spring and summer
秋	Autumn
冬	Winter
秋晴れ	Fine autumn day
冬休み	Winter holidays
去年	Last Year
去る	To leave
過去	Past
消去する	To delete
朝	Morning
朝食	Breakfast
今朝	This morning
早朝	Early morning
昼	Noon
昼間	Daytime
昼食	Lunch
昼休み	Lunch break
夕食	Dinner
夕方	Evening
夕日	Setting sun
夕べ	Last night
夜	Night
今夜	Tonight
夜風	Night wind
深夜	Late at night
色彩	Tinge
三色	Three colors
黄色	Yellow
茶色	Brown color
茶道	Tea ceremony
日本茶	Japanese tea
紅茶	Black Tea
赤	Red color
赤ちゃん	Baby
赤道	Equatoせきどう
真っ赤	Deep red, flushed(of face)
銀	Silver
銀行	Bank
銀色	Silver color
銀貨	Silver coin, ぎんか
銀河系	Galaxy, ぎんがけい
青	Blue
青葉	Green Leaf
青空	Blue sky
青少年	Youth , young men
黒	Black
黒板	Blackboard
黒字	Profit,black letter，くろじ
白黒	Black-and-white, monochrome
黒砂糖	Brown Sugar
肉	Meat
肉体	Body
豚肉	Pork
肉屋	Butcher
肉料理	Meat Dish
野菜	Vegetable
白菜	Chinese cabbage、はくさい
菜の花	Rapseed flowers
前菜	Appetizer，ぜんさい
ご飯	Cooked rice, meal
昼飯	Lunch
炊飯器	Rice cooker, すいはんき
味	Taste, あじ、いみ
意味	Meaning
味方	Friend,ally
趣味	Hobby
兄	Older Brother
弟	Younger brother
姉	Older sister
妹	Little sister
兄弟	Siblings
姉妹	Sisters
弟妹	Younger siblings
兄弟子	Senior fellow apprentice
私	I,myself
市立	Private, non-governmental
自分	Oneself
自膳	Nature
自ら	By oneself, voluntarily
自由	Freedom
両親	Parents
母親	Mother
親しい	Close,intimate
家族	Family
親族	Relative
貴族	Nobles,aristocracy
民族	Ethnic group
医者	Doctor
役者	Actor
若者	Youth
患者	Patient(ill person)
日本犬	Japanese dog
番犬	Guard dog
飼い犬	Pet dog
鳥	Bird, chicken
七面鳥	Turkey
白鳥	Swan,はくちょう
焼き鳥	Skewered grilled chicken
体	Body
体育館	Gymnasium
団体	Organization
体裁	Appearance
声	Voice
声優	Voice Actor
声色	Vocal sound,tone of voice
大声	Loud sound
安心	Relief
心配する	To worry
中心	Center
死体	Dead body
死亡	Death, mortality
必死	Desperate
頭	Head
頭痛	Headache
先頭	Vanguard,head,lead
石頭	Hardhead
顔	Face
笑顔	Smile
顔見知り	Aquantaince
顔色が悪い	To look pale or unwell
首	Neck
足首	Ankle
首相	Prime minister
首都	Capital
元	Origin,former time,beginning
元日	New Year's Day
地元	Local,hometown
写真	Photograph
写す	To copy
写真家	Photographer
模写	Ectype
短い	Short
短期	Short term
短期	Being short tempered
思い	Heavy
軽い	Light
軽食	Light meal
軽量	Light
手軽	Easy, simple, informal
最近	Nowadays
近所	Neighborhood
悪い	Bad
明るい	Bright
近場	Nearby Place, ちかば
遠い	Far
遠足	Excursion, えんそく
遠出	Travelling far
永遠	Eternal, えいえん
和室	Japanese-style room, わしつ
氷室	Ice room, ひむろ
室内	Indoor, しつない
会議室	Meeting room
室	Room, apartment
実家	Parent's home, じっか
家族	Family
家主	Owner of a house, やぬし
居酒屋	Japanese-style bar, いざかや
屋外	Outside, おくがい
八百屋	Fruits and vegetable store, やおや
館	Building, mansion
図書館	Library
旅館	Japanese style inn
美術館	Art museum
大使館	Embassy
病院	Hospital
気に病む	To worry oneself
病	Disease
病気	Disease
大学院	Graduate school
退院	Getting discharged from hospital
入院	Hospitalization
薬	Medicine,Drug
医薬品	Medical supplies
薬局	Pharmacy,drug store
薬指	Ring finger
世界	World
世の中	World, よのなか
世紀	Century, せいき
世話する	To take care of
政界	Political arena
他界する	To pass away、たかいする
限界	Limit,bound
光	Light,ray
観光	Sight-seeing
光る	To shine,glitter
光景	Scene,spectacle, こうけい
地球	The earth
地面	Ground, じめん
土地	Land,plot
地下	Underground
林	Woods
森林	Forest
林業	Forestry
林道	Forest path、りんどう
森	Forest
森の中	In the woods
森林公園	Forest park
池	Pond
電池	Dry cell battery,でんち
古池	Old pond
単三電池	Size AA battery
洋食	Western food
大西洋	Atlantic Ocean
洋風	Western style, ようふう
西洋	The west, せいよう
海	Ocean, sea
海岸	Coastal area, beach
海の幸	Seafood
海水浴場	Swimming beach, かいすいよくじょう
野	Plains,field
野球	Baseball
野生	Wild
野外	Outskirts,suburbs
野原	Field
和風	Japanese style、わふう
風力	Wind power, ふうりょく
台風	Typoon
京都	Kyoto
京	Capital city
北京	Beijing
東京	Tokyo
地区	District
区別する	To distinguish, くべつする
学区	School district
区役所	Ward office, くやくしょ
時と場所	Time and place
住所	Address
市役所	City hall, しやくしょ
村	Village
村人	Villager
村長	Village Mayor, そんちょう
山村	Mountain village, さんそん
町	Town
隣町	Next town
町民	Townspeople
町内会	Neighborhood association
県	Prefecture, けん
福岡県	Fukuoka prefecture
県民	People of a prefecture、けんみん
県庁	Prefecture office
都合	One's convenience or circumstances, つごう
東京都庁	Tokyo Metropolitan City Hall
都市	City
都	Capital, Metropolis, みやこ
食堂	Cafeteria, restaurant
お堂	Temple,shrine
公会堂	Public hall, auditorium こうかいどう
正々堂々	Fair and square
場所	Place
会場	Assembly hall or meeting place
広場	Square
駐車場	Parking lot, ちゅうしゃじょう
